ACARA School ID,AGE ID,School Name,Suburb,State,Postcode,Region,Cluster,Cluster Hub,Distance from Cluster 'hub',Driving Time from Cluster 'hub' (Min),Distance from CBD,Driving Time from CBD (Min),Latitude,Longitude,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Year Range,Geolocation,TFA Eligible school,ICSEA,Bottom SEA Quarter,Lower Middle SEA Quarter,Upper Middle SEA Quarter,Top SEA Quarter,Teaching Staff,FTE Teaching Staff,Non-Teaching Staff,FTE Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Enrolment change from 2016,Indigenous Enrolments,Language Background Other Than English,NAPLAN numeracy comparison to national average Yr 9,NAPLAN reading comparison to national average Yr 9,% Students at University,% Students at TAFE,% Students in Employment,C2010 placements,C2010,C2011 placements,C2011,C2012 placements,C2012,C2013 placements,C2013,C2014 placements,C2014,C2015 placements,C2015,C2016 placements,C2016,C2017 placements,C2017,C2018 placements,C2018,Total placements,Current TFA partner school,TFA placement school,2018 PAN member,TLA,TTL school,Alumni at school,Duplicates
5741,7522,obfuscated_5741,obfuscated_5741,QLD,4508,,,,,,,,-32.9758,151.606948,Government,Primary,School Single Entity,Individual Reporting,http://www.decebayss.eq.edu.au,Prep-6,Major Cities,,890,61,26,10,2,30,26,28,17,390,189,201,390,3%,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5742,11774,obfuscated_5742,obfuscated_5742,QLD,4311,,,,,,,,-32.975553,151.613863,Government,Primary,School Single Entity,Individual Reporting,http://www.prenzlauss.eq.edu.au,Prep-6,Inner Regional,,990,33,30,26,11,4,3.8,5,2.6,56,25,31,56,-10%,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5743,17257,obfuscated_5743,obfuscated_5743,VIC,3978,,,,,,,,-32.975202,138.839533,Independent,Combined,School Head Campus,Rolled Reporting,http://www.hillcrest.vic.edu.au,Prep-12,Major Cities,,1087,5,22,36,37,117,107.1,97,62,1524,811,713,1524,7%,0,29,Above,Above,70,21,5,,,,,,,,,,,,,,,,,,,,,,,,,Yes,
5744,13034,obfuscated_5744,obfuscated_5744,QLD,4816,,,,,,,,-32.97428894,151.6114807,Government,Primary,School Single Entity,Individual Reporting,http://www.homesteadss.eq.edu.au,Prep-6,Very Remote,,915,44,29,15,13,1,1,5,2,9,4,5,9,13%,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5745,11771,obfuscated_5745,obfuscated_5745,QLD,4311,,,,,,,,-32.973933,151.61151,Government,Primary,School Single Entity,Individual Reporting,http://www.lowoodss.eq.edu.au,Prep-6,Inner Regional,,903,63,25,11,1,24,23.4,15,10.9,276,135,141,276,-14%,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5746,12070,obfuscated_5746,obfuscated_5746,QLD,4413,,,,,,,,-32.97343445,117.1205673,Government,Primary,School Single Entity,Individual Reporting,http://www.chinchilss.eq.edu.au,Prep-6,Outer Regional,,927,46,29,20,5,44,36.6,29,18.5,592,285,307,592,1%,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5747,11792,obfuscated_5747,obfuscated_5747,QLD,4341,,,,,,,,-32.972025,151.712234,Government,Primary,School Single Entity,Individual Reporting,http://www.thorntonss.eq.edu.au,Prep-6,Inner Regional,,946,39,30,24,7,4,3.5,5,2.8,52,24,28,52,136%,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5748,11675,obfuscated_5748,obfuscated_5748,QLD,4304,,,,,,,,-32.971345,138.83202,Government,Primary,School Single Entity,Individual Reporting,http://www.silkstonss.eq.edu.au,Prep-6,Major Cities,,933,53,30,14,3,64,58.7,35,24.6,828,404,424,828,2%,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5749,11190,obfuscated_5749,obfuscated_5749,QLD,4055,,,,,,,,-32.971176,151.704693,Government,Primary,School Single Entity,Individual Reporting,http://www.fernhillss.eq.edu.au,Prep-6,Major Cities,,1031,18,30,33,19,31,24.5,21,13.7,361,169,192,361,4%,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5750,13142,obfuscated_5750,obfuscated_5750,QLD,4887,,,,,,,,-32.967703,151.653691,Government,Combined,School Head Campus,Rolled Reporting,http://herbertonss.eq.edu.au,Prep-10,Outer Regional,Yes,898,50,28,17,5,20,17,17,12,176,80,96,176,1%,31,5,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5751,11533,obfuscated_5751,obfuscated_5751,QLD,4179,,,,,,,,-32.96765,151.688181,Government,Primary,School Single Entity,Individual Reporting,http://www.manlywestss.eq.edu.au,Prep-6,Major Cities,,1022,21,31,31,18,37,30.1,15,11,485,246,239,485,7%,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5752,16038,obfuscated_5752,obfuscated_5752,QLD,4506,,,,,,,,-32.966894,151.702628,Government,Primary,School Single Entity,Individual Reporting,http://www.minimbahss.eq.edu.au,Prep-6,Major Cities,,966,40,35,20,5,57,51.3,29,17.8,802,367,435,802,4%,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5753,12866,obfuscated_5753,obfuscated_5753,QLD,4702,,,,,,,,-32.966702,149.855478,Government,Primary,School Single Entity,Individual Reporting,http://www.dingoss.eq.edu.au,Prep-6,Remote,,979,38,31,23,8,4,3.2,6,3.4,55,17,38,55,34%,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5754,11754,obfuscated_5754,obfuscated_5754,QLD,4306,,,,,,,,-32.966054,151.641812,Government,Primary,School Single Entity,Individual Reporting,http://www.mtcrosbyss.eq.edu.au,Prep-6,Major Cities,,1056,13,28,30,28,51,42.6,26,15,697,317,380,697,-1%,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5755,14411,obfuscated_5755,obfuscated_5755,QLD,4311,,,,,,,,-32.965494,151.697486,Government,Primary,School Single Entity,Individual Reporting,http://www.tarampass.eq.edu.au,Prep-6,Inner Regional,,991,32,34,26,7,7,5.3,6,3.9,87,38,49,87,-8%,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5756,5140,obfuscated_5756,obfuscated_5756,QLD,4160,,,,,,,,-32.964902,151.713608,Government,Primary,School Single Entity,Individual Reporting,http://www.wellpoinss.eq.edu.au,Prep-6,Major Cities,,1049,13,29,31,26,44,33.4,22,13,546,276,270,546,5%,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5757,13118,obfuscated_5757,obfuscated_5757,QLD,4892,,,,,,,,-32.962493,151.605976,Government,Combined,School Single Entity,Individual Reporting,http://www.aurukunss.eq.edu.au,Prep-12,Very Remote,Yes,695,77,18,5,1,26,26,5,4.2,201,101,100,201,Unspecified,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5758,11168,obfuscated_5758,obfuscated_5758,QLD,4034,,,,,,,,-32.96198,115.90315,Government,Primary,School Single Entity,Individual Reporting,http://www.zillmeress.eq.edu.au,Prep-6,Major Cities,,904,58,25,13,4,14,8.7,12,6.3,133,68,65,132.4,-8%,21,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5759,11217,obfuscated_5759,obfuscated_5759,QLD,4074,,,,,,,,-32.959966,151.68003,Government,Primary,School Single Entity,Individual Reporting,http://www.jambheigss.eq.edu.au,Prep-6,Major Cities,,1092,6,21,33,40,61,50.2,27,15.7,819,386,433,819,0%,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5760,12773,obfuscated_5760,obfuscated_5760,QLD,4670,,,,,,,,-32.958943,151.621641,Government,Primary,School Single Entity,Individual Reporting,http://www.kalkiess.eq.edu.au,Prep-6,Inner Regional,,993,32,32,24,12,25,21.2,20,10.6,241,115,126,241,-5%,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5761,11323,obfuscated_5761,obfuscated_5761,QLD,4130,,,,,,,,-32.958508,151.680623,Government,Primary,School Single Entity,Individual Reporting,http://www.carbrookss.eq.edu.au,Prep-6,Major Cities,,1031,16,34,33,16,36,30.4,18,12.8,448,213,235,447.8,-3%,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762,12776,obfuscated_5762,obfuscated_5762,QLD,4670,,,,,,,,-32.958438,151.274199,Government,Primary,School Single Entity,Individual Reporting,http://www.kolasoutss.eq.edu.au,Prep-6,Inner Regional,,976,40,31,22,7,7,5.8,7,4.1,124,56,68,124,6%,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5763,11136,obfuscated_5763,obfuscated_5763,QLD,4012,,,,,,,,-32.956712,151.56443,Government,Primary,School Single Entity,Individual Reporting,http://www.northgatess.eq.edu.au,Prep-6,Major Cities,,1050,15,23,31,31,25,15.5,17,9.6,258,130,128,258,10%,7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5764,11352,obfuscated_5764,obfuscated_5764,QLD,4165,,,,,,,,-32.95377494,151.6647457,Government,Primary,School Single Entity,Individual Reporting,http://www.mtcottonss.eq.edu.au,Prep-6,Major Cities,,1032,16,35,32,17,42,37.8,19,12.1,624,330,294,624,1%,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5765,11762,obfuscated_5765,obfuscated_5765,QLD,4306,,,,,,,,-32.951363,151.670299,Government,Primary,School Single Entity,Individual Reporting,http://www.walloonss.eq.edu.au,Prep-6,Major Cities,,954,45,33,18,5,17,15.1,16,9.7,232,104,128,232,-7%,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5766,11196,obfuscated_5766,obfuscated_5766,QLD,4061,,,,,,,,-32.951196,151.622765,Government,Primary,School Single Entity,Individual Reporting,http://www.payneroadss.eq.edu.au,Prep-6,Major Cities,,1117,4,13,27,56,23,18,16,9.3,260,109,151,259,-3%,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5767,16040,obfuscated_5767,obfuscated_5767,QLD,4817,,,,,,,,-32.948936,151.753398,Government,Primary,School Single Entity,Individual Reporting,http://www.thewillowsss.eq.edu.au,Prep-6,Outer Regional,,989,24,35,28,13,75,68.4,32,23.1,1007,486,521,1007,-1%,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768,6574,obfuscated_5768,obfuscated_5768,QLD,4490,,,,,,,,-32.948315,151.699885,Government,Combined,School Single Entity,Individual Reporting,http://www.cunnamullap12ss.eq.edu.au,Prep-12,Very Remote,,728,76,17,5,1,17,16.4,20,13.5,98,49,49,98,-18%,82,1,Substantially Below,Substantially Below,0,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,
5769,13063,obfuscated_5769,obfuscated_5769,QLD,4892,,,,,,,,-32.947882,151.682275,Government,Combined,School Single Entity,Individual Reporting,http://www.mornislass.eq.edu.au,Prep-10,Very Remote,Yes,683,81,14,4,1,24,24,12,9.3,245,121,124,245,-2%,98,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5770,12494,obfuscated_5770,obfuscated_5770,QLD,4605,,,,,,,,-32.947137,151.706868,Government,Primary,School Single Entity,Individual Reporting,http://www.winderass.eq.edu.au,Prep-6,Outer Regional,,914,41,57,1,0,3,2.2,4,2.1,14,6,8,14,-13%,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5771,11950,obfuscated_5771,obfuscated_5771,QLD,4355,,,,,,,,-32.946716,151.737458,Government,Combined,School Single Entity,Individual Reporting,http://www.crownestss.eq.edu.au,Prep-10,Inner Regional,Yes,958,40,35,18,7,32,25.8,19,12.9,294,149,145,294,-2%,10,3,Close to,Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5772,11783,obfuscated_5772,obfuscated_5772,QLD,4311,,,,,,,,-32.946524,151.694581,Government,Primary,School Single Entity,Individual Reporting,http://www.mindenss.eq.edu.au,Prep-6,Inner Regional,,972,39,34,22,5,14,12,7,4.6,188,92,96,188,9%,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5773,11978,obfuscated_5773,obfuscated_5773,QLD,4372,,,,,,,,-32.946197,151.711766,Government,Primary,School Single Entity,Individual Reporting,http://www.tannymorss.eq.edu.au,Prep-6,Inner Regional,,,,,,,,0,1,0.3,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5774,11131,obfuscated_5774,obfuscated_5774,QLD,4007,,,,,,,,-32.945779,151.657754,Government,Primary,School Single Entity,Individual Reporting,http://www.ascotss.eq.edu.au,Prep-6,Major Cities,,1147,2,9,23,66,49,44.2,21,14.4,747,367,380,746.4,-4%,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5775,11917,obfuscated_5775,obfuscated_5775,QLD,4352,,,,,,,,-32.94283,151.700379,Government,Primary,School Single Entity,Individual Reporting,http://www.gowriess.eq.edu.au,Prep-6,Inner Regional,,1003,22,38,30,10,14,10.6,13,8,185,107,78,185,9%,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5776,12798,obfuscated_5776,obfuscated_5776,QLD,4671,,,,,,,,-32.942795,151.665665,Government,Primary,School Single Entity,Individual Reporting,http://www.ginginss.eq.edu.au,Prep-6,Outer Regional,,942,47,29,18,5,21,19.6,18,11.2,290,149,141,290,3%,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5777,6549,obfuscated_5777,obfuscated_5777,QLD,4472,,,,,,,,-32.939964,151.758644,Government,Combined,School Single Entity,Individual Reporting,http://www.blackallss.eq.edu.au,Prep-12,Very Remote,,938,48,34,13,5,12,10.6,14,9.2,123,58,65,123,-4%,11,3,Substantially Below,Below,20,60,20,,,,,,,,,,,,,,,,,,,,,,,,,,
5778,15036,obfuscated_5778,obfuscated_5778,QLD,4695,,,,,,,,-32.938493,151.629533,Government,Combined,School Single Entity,Individual Reporting,http://www.mtlarcomss.eq.edu.au,Prep-10,Outer Regional,,924,65,27,8,1,10,9,9,6.4,70,34,36,70,27%,4,4,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5779,16080,obfuscated_5779,obfuscated_5779,QLD,4207,,,,,,,,-32.937602,151.715156,Government,Primary,School Single Entity,Individual Reporting,http://www.edenslandingss.eq.edu.au,Prep-6,Major Cities,,981,34,34,24,8,56,46.6,31,19.4,743,368,375,743,0%,6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5780,13010,obfuscated_5780,obfuscated_5780,QLD,4810,,,,,,,,-32.937547,151.742152,Government,Primary,School Single Entity,Individual Reporting,http://www.townsoutss.eq.edu.au,Prep-6,Outer Regional,,923,43,26,20,11,13,8.3,5,3.9,128,58,70,128,-5%,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5781,12922,obfuscated_5781,obfuscated_5781,QLD,4732,,,,,,,,-32.93742,117.19032,Government,Primary,School Single Entity,Individual Reporting,http://www.muttaburss.eq.edu.au,Prep-6,Very Remote,,945,49,25,19,6,2,1.6,3,1.9,15,6,9,15,36%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5782,13023,obfuscated_5782,obfuscated_5782,QLD,4814,,,,,,,,-32.937204,149.091542,Government,Primary,School Single Entity,Individual Reporting,http://www.heatleyss.eq.edu.au,Prep-6,Outer Regional,,879,55,31,13,2,51,45.5,34,20,555,237,318,555,-8%,36,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5783,14436,obfuscated_5783,obfuscated_5783,QLD,4553,,,,,,,,-32.937186,151.725652,Government,Primary,School Single Entity,Individual Reporting,http://www.mooloolahss.eq.edu.au,Prep-6,Inner Regional,,1003,25,33,30,13,16,13.9,12,7.6,191,94,97,191,12%,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5784,12957,obfuscated_5784,obfuscated_5784,QLD,4741,,,,,,,,-32.937049,151.758934,Government,Primary,School Single Entity,Individual Reporting,http://www.etonss.eq.edu.au,Prep-6,Outer Regional,,987,36,33,23,7,5,3.8,6,2.7,42,8,34,42,-16%,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5785,11937,obfuscated_5785,obfuscated_5785,QLD,4364,,,,,,,,-32.936928,151.664653,Government,Primary,School Single Entity,Individual Reporting,http://www.brookstess.eq.edu.au,Prep-6,Inner Regional,,949,46,24,23,7,5,2.5,6,2.9,26,15,11,26,-19%,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5786,12916,obfuscated_5786,obfuscated_5786,QLD,4726,,,,,,,,-32.93611111,117.1877778,Government,Combined,School Single Entity,Individual Reporting,http://www.aramacss.eq.edu.au,Prep-10,Very Remote,,918,50,27,15,8,10,9.4,10,6,56,23,33,51,10%,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5787,12963,obfuscated_5787,obfuscated_5787,QLD,4740,,,,,,,,-32.935729,117.174598,Government,Primary,School Single Entity,Individual Reporting,http://www.glenellass.eq.edu.au,Prep-6,Inner Regional,,987,33,33,22,12,13,10,9,5.2,175,90,85,175,9%,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5788,11787,obfuscated_5788,obfuscated_5788,QLD,4341,,,,,,,,-32.934855,151.688027,Government,Primary,School Single Entity,Individual Reporting,http://www.blenheimss.eq.edu.au,Prep-6,Inner Regional,,964,43,38,17,2,6,5.6,5,3.2,84,42,42,84,-6%,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5789,11962,obfuscated_5789,obfuscated_5789,QLD,4361,,,,,,,,-32.93448086,117.1724635,Government,Primary,School Single Entity,Individual Reporting,http://www.backplainss.eq.edu.au,Prep-6,Inner Regional,,1073,1,24,39,36,3,1.5,5,2.1,17,7,10,17,31%,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5790,11980,obfuscated_5790,obfuscated_5790,QLD,4374,,,,,,,,-32.93344,151.753489,Government,Primary,School Single Entity,Individual Reporting,http://www.dalveenss.eq.edu.au,Prep-6,Inner Regional,,1003,24,31,36,9,3,1.6,4,1.6,11,3,8,11,22%,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5791,12770,obfuscated_5791,obfuscated_5791,QLD,4670,,,,,,,,-32.933094,151.594552,Government,Primary,School Single Entity,Individual Reporting,http://www.burnheadss.eq.edu.au,Prep-6,Inner Regional,,924,60,25,11,4,10,9.2,11,6.4,141,72,69,141,3%,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5792,11897,obfuscated_5792,obfuscated_5792,QLD,4346,,,,,,,,-32.932213,151.730971,Government,Primary,School Single Entity,Individual Reporting,http://www.marburgss.eq.edu.au,Prep-6,Inner Regional,,981,33,30,28,8,5,3.9,6,3.5,52,23,29,52,-16%,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5793,4634,obfuscated_5793,obfuscated_5793,QLD,4850,,,,,,,,-32.931677,151.758378,Government,Primary,School Single Entity,Individual Reporting,http://www.macknadess.eq.edu.au,Prep-6,Remote,,968,32,41,24,4,5,2.5,6,3,33,15,18,33,-13%,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,12282,obfuscated_5794,obfuscated_5794,QLD,4501,,,,,,,,-32.93148727,148.7499057,Government,Primary,School Single Entity,Individual Reporting,http://www.lawntonss.eq.edu.au,Prep-6,Major Cities,,974,34,34,23,9,32,26.5,23,15.2,459,227,232,458.4,17%,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5795,13060,obfuscated_5795,obfuscated_5795,QLD,4830,,,,,,,,-32.931487,151.717578,Government,Combined,School Single Entity,Individual Reporting,http://www.doomadgeess.eq.edu.au,Prep-10,Very Remote,Yes,687,83,12,4,1,35,35,10,7.2,325,149,176,324.5,0%,97,61,Substantially Below,Substantially Below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5796,11194,obfuscated_5796,obfuscated_5796,QLD,4060,,,,,,,,-32.930285,151.776915,Government,Primary,School Single Entity,Individual Reporting,http://www.oakleighss.eq.edu.au,Prep-6,Major Cities,,1157,2,8,22,69,43,31.5,24,13.9,498,236,262,498,6%,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5797,11767,obfuscated_5797,obfuscated_5797,QLD,4310,,,,,,,,-32.929914,151.780162,Government,Primary,School Single Entity,Individual Reporting,http://www.boonahss.eq.edu.au,Prep-6,Inner Regional,,976,36,33,21,11,22,17.2,16,9.7,255,124,131,255,5%,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5798,13033,obfuscated_5798,obfuscated_5798,QLD,4816,,,,,,,,-32.929684,151.734749,Government,Primary,School Single Entity,Individual Reporting,http://www.greenvaless.eq.edu.au,Prep-6,Remote,,991,28,28,31,14,3,3,8,3.7,31,12,19,31,-6%,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
